productCode, current price, discount percentage
CDLI2002E,259.00,10
CIDLI2003,339.00,10
CIWLI2001,359.00,10
CIRLI2002,349.00,10
CKLI2007,470.00,15
FBLI2001E,59.00,10
CDLI1221,109.00,20
CIDLI1222,149.00,20
FBLI12151,29.00,10
FCLI12081,10.00,10
CIDLI1612,219.00,25
CDLI1611,129.00,20
CAGLI1151,159.00,15
APLI2001,239.00,15
CJSLI8501,134.99,10
CRSLI1151,159.00,15
CRHLI1601,149.00,20
CABLI2001,129.00,25
CGGLI2001,39.99,25
CSGLI2001,129.00,10
CACLI2001,64.99,15
CACLI2002,139.00,10
CWLI2001,49.00,15
CWLI2002,79.90,15
CMLI2001,129.00,15
MXLI2001,199.00,15
CVLI2001,89.00,10
CGTLI2001,139.00,15
CHTLI2001,179.00,15
ID6538,65.00,15
ID11008,119.00,10
AG8006-2,65.00,15
AG8508E,109.00,15
AG110018,119.00,10
AG24008E,179.00,15
AP14008,189.00,10
RGH6508,139.00,15
RGH9028,149.00,20
RGH9028-2,169.00,10
RH10508,279.00,15
RH150068,299.00,15
RH18008,399.00,15
RH16008,419.00,10
PDB13008,389.00,10
PDB15006,699.00,10
PDB17008,899.00,10
HKTHP10761,190.00,15
HKTHP11021,139.00,20
CS18568,189.00,10
JS80028,119.00,10
WLC15008,319.00,10
PL10508,189.00,10
RT160028,189.00,10
RS8008,149.00,10
MX214008,239.00,15
BMS14002,199.00,20
FS3208,94.90,10
RS4501.2,139.00,10
DWS6003,699.00,15
PTWT215002,179.00,10
SPG1008,79.00,15
SPG5008,149.00,15
BG61502,89.00,15
ING-MMA2006,409.00,20
ING-MMAC1602,239.00,20
ING-CB1601,169.00,15
HBTCP6001,29.90,10
SPD7501,145.00,25
GWP102,289.00,20
GWP302,449.00,20
HPWR14008,179.00,15
HPWR18008,259.00,10
AAC1408,55.00,15
GT3501,79.00,15
LM385,229.00,10
LM383,339.00,10
GBC45441,349.00,15
ALS25401,24.99,15
TSB423045,15.00,15
GCS45185,299.00,10
AGSB1805,45.00,10
AGSC1805,30.00,10
AKD5075,149.00,15
AIW12562,159.00,20
ABG031,8.00,15
ACN50401,95.00,10
ANA18251,8.00,10
ANA18501,15.00,10
AST18251,8.00,10
STS0108,2.00,10
AKTGS3011,24.99,15
AKTGS2061,3.99,10
MCD301001,1.60,10
MCD1211525,24.99,10
MCD121251,1.80,10
MCD302301,4.00,10
DMD031002M,7.00,10
DMD031152M,9.00,10
DMD031252M,9.99,10
DMD011252M,9.99,10
DMD012302M,15.99,10
DBT1100303,3.59,15
DBT1100353,3.89,15
DBT1100403,4.19,15
DBT1100453,4.59,15
DBT1100503,5.29,15
DBT1100553,5.79,15
DBT1100603,6.29,15
DBT1101203,12.99,15
DBH1210601,2.99,15
DBH1210801,3.19,15
DBH1210602,3.29,15
DBH1210802,3.39,15
DBH1211201,3.89,15
DBH1211601,6.19,15
DBH1210603,3.39,15
DBH1210803,4.09,15
DBH1210604,4.39,15
DBH1210804,4.99,15
DBC0112501,5.99,15
DBC0122501,5.99,15
DBC0122502,7.99,15
DBC0212801,9.99,15
DBC0214001,11.99,15
DBC0222801,9.99,15
DBC0224001,11.99,15
DBC0512801,14.99,15
DBC0522801,14.99,15
DBC0314101,35.99,15
DBC0324102,35.99,15
DBC0415301,45.99,15
DBC0425302,45.99,15
AKD2052,16.99,15
AKD1055,7.49,15
AKDB1065,4.99,15
AKDB1125,9.99,15
AKDB3055,5.99,15
AKDB5055,3.99,15
AKSDB9165,10.99,15
AKD1055,7.49,15
AKDB1088,13.99,15
