productCode, current price, discount percentage
CDLI2002E,259.00,15
CIDLI2003,339.00,15
CIWLI2001,359.00,15
CIRLI2002,349.00,15
CKLI2007,470.00,18
FBLI2001E,59.00,15
FCLI2001E,29.90,10
CDLI1232,109.00,10
CIDLI1232,129.00,10
FBLI12152,29.00,10
FCLI12071,9.00,10
CDLI1221,109.00,20
CIDLI1222,149.00,20
FBLI12151,29.00,10
FCLI12081,10.00,10
CIDLI1612,219.00,25
CDLI1611,129.00,20
CAGLI1151,159.00,20
APLI2001,239.00,20
CJSLI8501,134.99,15
CRSLI1151,159.00,20
CRHLI1601,149.00,20
CABLI2001,129.00,25
CGGLI2001,39.99,25
CSGLI2001,129.00,15
CACLI2001,64.99,20
CACLI2002,139.00,20
CWLI2001,49.00,20
CWLI2002,79.90,20
CMLI2001,129.00,20
MXLI2001,199.00,22
CVLI2001,89.00,15
CGTLI2001,139.00,22
CHTLI2001,179.00,22
CGSLI2001,339.00,10
ID6538,65.00,20
ID11008,119.00,20
AG8006-2,65.00,20
AG8508E,109.00,20
AG110018,119.00,15
AG24008E,179.00,20
AP14008,189.00,20
RGH6508,139.00,20
RGH9028,149.00,20
RGH9028-2,169.00,20
RH10508,279.00,20
RH150068,299.00,20
RH18008,399.00,20
RH16008,419.00,15
PDB13008,389.00,15
PDB15006,699.00,20
PDB17008,899.00,20
HKTHP10761,190.00,22
HKTHP11021,139.00,20
CS18568,189.00,20
JS80028,119.00,20
WLC15008,319.00,15
PL10508,189.00,20
RT160028,189.00,20
RS8008,149.00,20
MX214008,239.00,20
BMS14002,199.00,22
FS3208,94.90,15
RS4501.2,139.00,20
DWS6003,699.00,20
HG200028,59.00,10
PTWT215002,179.00,20
SPG1008,79.00,20
SPG5008,149.00,22
AB8008,99.00,15
BG61502,89.00,15
ING-MMA2006,409.00,22
ING-MMAC1602,239.00,22
ING-CB1601,169.00,22
HBTCP6001,29.90,15
SPD7501,145.00,25
GWP102,289.00,22
GWP302,449.00,22
HPWR14008,179.00,22
HPWR18008,259.00,20
AAC1408,55.00,15
GT3501,79.00,22
LM385,229.00,20
LM383,339.00,20
GBC45441,349.00,15
ALS25401,24.99,15
TSB423045,15.00,15
GCS45185,299.00,20
AGSB1805,45.00,10
AGSC1805,30.00,10
AKD5075,149.00,22
AIW12562,159.00,25
ABG031,8.00,15
ACN50401,95.00,10
ANA18251,8.00,10
ANA18501,15.00,10
AST18251,8.00,10
HSG1405,18.00,10
STS0108,2.00,10
AKTGS3011,24.99,15
AKTGS2061,3.99,10
MCD301001,1.60,10
MCD1211525,24.99,10
MCD121251,1.80,10
MCD302301,4.00,10
DMD031002M,7.00,10
DMD031152M,9.00,10
DMD031252M,9.99,10
DMD011252M,9.99,10
DMD012302M,15.99,10
DBT1100303,3.59,15
DBT1100353,3.89,15
DBT1100403,4.19,15
DBT1100453,4.59,15
DBT1100503,5.29,15
DBT1100553,5.79,15
DBT1100603,6.29,15
DBT1101203,12.99,15
DBH1210601,2.99,15
DBH1210801,3.19,15
DBH1210602,3.29,15
DBH1210802,3.39,15
DBH1211201,3.89,15
DBH1211601,6.19,15
DBH1210603,3.39,15
DBH1210803,4.09,15
DBH1210604,4.39,15
DBH1210804,4.99,15
DBC0112501,5.99,15
DBC0122501,5.99,15
DBC0122502,7.99,15
DBC0212801,9.99,15
DBC0214001,11.99,15
DBC0222801,9.99,15
DBC0224001,11.99,15
DBC0512801,14.99,15
DBC0522801,14.99,15
DBC0314101,35.99,15
DBC0324102,35.99,15
DBC0415301,45.99,15
DBC0425302,45.99,15
AKD2052,16.99,15
AKD1055,7.49,15
AKDB1065,4.99,15
AKDB1125,9.99,15
AKDB3055,5.99,15
AKDB5055,3.99,15
AKSDB9165,10.99,15
AKD1055,7.49,15
AKDB1088,13.99,15
AKDB1195,24.99,15
AKD1251,139.00,15
AKD3051,12.49,15
AKD3081,18.99,15
AKD2048,12.99,15
AKD2052,16.99,15
AKD5058,7.99,15
AKD9165,19.99,15
AKD2101,34.99,15
HKTAC010671,59.90,15
SDB11PH213,9.99,15
SDB11PH223,7.99,15
SDB11SL413,9.99,15
SDB11SL423,7.99,15
SDB11PZ213,9.99,15
SDB21HL133,12.99,15
SDB21PH223,9.99,15
SDB21PH233,12.99,15
ABH10601,4.99,15
AKSD0071,7.99,15
AKSD08301,17.99,15
AMN65061,13.99,15
HCP28188,8.49,15
HCP28208,9.90,15
HDCP28168,8.49,15
HPP28258,12.99,15
HHCP28180,12.99,15
HHCP28200,13.49,15
HHLDCP28160,13.99,15
HHLNP28200,12.99,15
HKPS28318,26.99,15
HKHLPS2831,32.99,15
HKHLPS2832,36.99,15
HMBC0808,14.99,15
HBC0814,24.99,15
HBC0824,39.00,15
HECP02180,12.00,15
HWSP15608,15.99,15
HWSP101,15.00,15
HR105,17.99,15
HKSD1828,29.99,15
AKISD0201,5.99,15
AKISD0608,4.49,15
AKISD1208,11.99,15
HKSD0628,12.00,15
HKISD0608,19.99,15
AKISD0901,12.99,15
HKTFS0508,27.99,15
HHK11091,9.99,15
HHK13091,10.99,15
HKTH10258,49.00,20
HPW0810,13.90,15
HPW0812,16.90,15
